true_label,predicted_label,count
9,46,2
14,0,8
37,40,6
6,40,4
12,0,1
43,22,1
26,10,2
35,40,2
24,0,13
46,10,1
15,10,2
36,46,1
15,40,5
11,10,6
47,0,8
31,40,1
32,10,1
23,0,8
37,10,4
11,0,78
46,46,1
22,0,9
44,46,1
6,0,8
22,10,4
21,0,4
48,0,11
17,10,3
34,0,4
36,0,2
3,40,5
41,0,8
29,40,2
7,0,14
28,40,2
43,0,15
10,10,16
23,46,2
3,10,5
32,0,6
30,0,8
30,46,4
43,10,1
4,10,2
32,40,1
49,40,5
10,0,1
29,0,10
18,10,3
18,46,9
33,40,5
24,10,1
39,0,9
11,40,20
7,10,2
16,0,19
27,0,5
18,0,4
12,10,9
37,0,3
20,46,7
20,10,4
20,0,7
21,10,4
5,10,3
35,0,13
13,10,1
22,40,3
31,0,10
34,10,8
34,40,2
45,10,3
2,40,2
28,46,1
32,46,1
43,40,1
28,0,6
1,0,2
4,46,1
9,40,5
38,40,6
7,40,3
0,0,13
35,46,1
9,10,3
15,46,5
33,10,7
4,0,4
36,10,2
49,10,3
13,0,14
44,0,6
27,10,6
45,40,7
40,46,1
26,0,5
25,10,9
30,40,4
5,0,4
24,40,6
2,10,2
8,0,3
16,40,1
15,0,1
2,0,9
33,0,3
9,0,9
38,0,9
7,46,1
40,10,3
27,40,3
47,40,4
23,10,2
42,40,2
28,10,1
12,40,3
40,40,2
39,10,1
45,0,4
22,46,1
6,10,1
21,40,5
13,40,1
17,40,6
42,0,6
8,40,5
17,46,3
49,0,1
4,40,1
48,40,4
30,10,4
36,40,6
44,40,1
5,46,1
39,40,4
1,10,12
23,40,5
47,10,3
0,40,2
14,40,3
17,0,4
3,0,3
34,46,1
46,0,7
41,40,1
19,0,12
40,0,2
