epoch,loss,accuracy
1,0.068232715,0.59375
2,0.0422663,0.5
3,0.041077465,0.5625
4,0.04435486,0.5625
5,0.03909047,0.53125
6,0.03946554,0.5625
7,0.041602258,0.59375
8,0.037710372,0.59375
9,0.040699787,0.68421054
10,0.03961867,0.640625
11,0.036440656,0.609375
12,0.036329556,0.578125
13,0.040493842,0.6315789
14,0.03843868,0.6875
15,0.041874714,0.59375
16,0.03597575,0.671875
17,0.038666975,0.640625
18,0.033980504,0.6315789
19,0.0349202,0.640625
20,0.035161518,0.640625
21,0.032371454,0.7368421
22,0.035354033,0.68421054
23,0.033101488,0.71875
24,0.035357326,0.609375
25,0.030908968,0.6875
