epoch,loss,accuracy
1,9039.318,0.671875
2,0.042777386,0.80952376
3,0.042411894,0.671875
4,0.042848993,0.703125
5,0.043151483,0.71875
6,0.042724717,0.671875
7,0.04329339,0.703125
8,0.04304881,0.671875
9,0.044315863,0.71428573
10,0.043506157,0.65625
11,0.043613404,0.703125
12,0.043288186,0.6875
13,0.04271228,0.640625
14,0.043581486,0.65625
15,0.043833207,0.6875
16,0.044694856,0.65625
17,0.044033464,0.734375
18,0.043460086,0.671875
19,0.042998955,0.640625
20,0.044347927,0.6666666
21,0.042667404,0.640625
22,0.043554652,0.6666666
23,0.043602962,0.703125
24,0.04309778,0.671875
25,0.044399947,0.6875
