true_label,predicted_label,count
23,18,1
15,24,1
30,48,2
22,7,1
41,28,1
19,47,1
46,34,1
49,9,1
30,20,6
22,16,2
9,36,1
14,29,1
5,5,2
19,19,8
7,31,1
13,1,1
13,13,2
37,11,3
41,18,1
43,24,2
16,43,5
24,43,2
41,48,2
43,2,1
8,8,3
31,24,2
49,11,2
28,21,1
12,12,7
9,32,1
36,14,2
7,34,2
20,23,1
18,23,1
2,19,1
13,48,2
14,9,1
45,45,1
20,9,1
47,9,1
45,20,1
0,37,1
24,39,3
33,20,1
42,24,1
48,14,1
36,8,1
32,48,1
38,38,4
20,24,2
34,28,1
47,1,1
17,20,2
9,11,2
38,11,1
11,39,1
45,48,1
22,12,1
37,37,3
15,9,1
1,26,1
24,11,1
28,7,1
36,33,2
35,18,1
49,38,1
39,39,3
22,10,1
11,0,3
39,6,2
23,23,12
11,14,2
16,20,1
5,20,1
31,34,1
40,23,1
45,24,2
18,15,2
27,39,1
1,10,3
26,29,1
33,33,11
13,6,1
24,16,2
36,47,1
2,11,4
32,20,1
32,0,1
45,43,1
2,49,1
6,6,9
34,11,2
43,43,13
23,16,2
49,10,2
11,22,1
17,34,1
17,48,1
0,10,1
24,31,2
30,6,1
29,9,3
38,37,2
30,27,4
26,16,1
26,17,1
45,30,2
7,7,5
24,8,1
48,20,1
1,25,1
1,49,1
1,11,1
36,48,1
21,2,1
11,16,1
37,29,1
28,24,2
42,39,2
27,27,3
2,20,1
6,48,1
27,30,1
33,1,2
18,10,1
0,38,2
0,11,1
11,25,1
28,23,1
29,29,5
2,2,2
47,37,1
47,47,4
13,24,1
2,3,1
49,1,2
46,15,2
4,3,1
0,9,1
42,8,1
44,24,2
45,13,1
18,18,10
36,20,1
28,20,1
15,35,2
44,47,1
37,10,1
45,27,1
44,48,4
23,20,1
31,16,4
23,7,1
12,8,1
12,34,2
18,20,1
17,17,3
37,3,1
17,24,5
11,9,1
7,24,3
35,35,4
11,13,1
29,3,1
7,30,1
4,48,1
40,34,1
28,16,1
45,14,1
38,41,1
16,48,1
20,18,1
41,24,1
0,0,9
48,48,5
45,16,2
3,0,1
7,48,1
15,15,5
34,17,1
26,11,2
48,11,2
15,17,1
27,8,1
27,24,2
27,11,2
34,38,1
28,39,2
38,0,4
26,1,1
22,23,1
4,7,2
5,14,1
20,20,10
40,20,1
48,1,1
13,11,3
40,22,1
10,10,15
13,16,2
31,48,1
14,11,1
11,11,81
48,30,1
24,24,9
6,38,1
30,16,1
26,19,1
35,16,2
39,24,1
11,47,2
25,25,9
5,0,2
17,22,2
27,16,1
7,41,3
22,22,9
27,20,2
21,0,1
34,20,3
8,16,1
9,9,8
30,11,1
17,11,1
41,41,2
32,24,2
11,37,1
35,15,3
42,7,1
38,7,1
34,1,1
3,37,1
12,23,1
47,3,1
20,7,2
16,7,1
30,44,1
19,11,3
37,5,1
33,48,1
35,23,1
36,29,1
37,14,1
17,47,1
39,43,5
14,19,1
16,16,6
9,3,2
18,43,1
38,2,1
34,34,3
11,1,4
14,5,1
11,42,1
10,1,1
38,24,1
16,39,3
5,17,1
46,9,1
28,27,1
14,48,3
35,7,1
31,31,2
13,20,1
39,21,1
48,24,1
43,11,2
45,21,1
15,1,1
20,15,1
13,9,1
34,10,1
46,18,2
7,29,1
37,49,1
49,22,1
47,11,6
34,45,1
48,37,1
11,48,1
14,14,2
8,24,1
35,43,2
41,7,1
9,14,2
35,20,1
36,36,1
10,38,1
1,1,6
21,24,4
46,46,3
1,9,1
8,11,2
7,14,1
35,39,1
15,18,2
44,3,1
22,20,2
11,28,1
6,18,1
40,11,3
2,16,3
21,21,3
9,29,2
30,24,3
4,24,1
48,47,1
4,22,3
3,1,1
34,23,1
6,27,1
48,7,1
27,21,1
36,5,1
5,44,1
29,11,3
39,12,1
32,32,2
16,11,1
13,29,1
3,3,8
11,31,1
21,20,4
13,31,1
3,14,1
11,3,1
3,40,1
41,0,1
16,2,1
8,7,1
7,3,1
7,11,1
9,47,1
14,0,1
39,16,1
40,1,1
16,24,1
47,38,1
42,42,3
31,20,1
37,1,1
32,11,2
12,16,2
30,30,1
