true_label,predicted_label,count
36,19,1
18,38,1
33,35,9
36,0,4
37,35,10
14,38,1
3,0,2
25,25,1
49,25,1
41,37,6
23,28,1
23,38,1
23,30,1
49,35,8
39,37,1
8,24,1
24,24,2
0,0,3
21,40,3
38,38,1
34,35,11
44,21,1
17,35,6
39,35,8
20,19,2
40,19,1
15,0,1
15,35,8
36,35,3
47,35,8
38,40,1
44,0,1
12,12,1
0,40,1
19,35,6
32,16,1
2,16,2
37,40,1
6,37,2
26,30,1
30,37,1
17,40,1
32,30,1
3,24,3
36,36,1
45,35,16
28,28,1
32,32,1
14,16,1
0,35,9
25,35,5
22,0,3
11,36,1
31,35,10
16,23,1
0,37,3
10,0,6
2,35,3
47,36,1
47,21,1
29,35,6
34,24,1
25,37,2
12,0,2
11,35,12
2,0,1
23,40,2
21,0,1
29,25,1
17,19,1
10,37,2
31,19,1
1,35,6
32,7,3
23,19,1
22,21,2
0,16,1
11,24,2
23,48,5
47,40,1
46,0,1
48,35,6
9,40,2
26,7,1
17,16,1
21,34,1
47,19,1
42,36,1
42,35,6
13,30,1
12,7,1
23,23,2
12,36,3
38,35,5
43,37,2
35,40,1
43,16,2
11,40,1
9,16,1
5,35,7
48,48,3
1,16,2
14,27,1
28,36,1
7,0,2
26,0,1
6,35,4
30,0,2
14,35,3
10,24,2
24,16,1
45,0,1
8,37,6
22,13,3
28,35,12
30,24,1
9,24,3
30,40,1
3,40,1
8,35,7
49,24,3
6,25,1
20,30,2
14,14,2
23,35,3
3,35,10
7,7,12
2,19,2
24,35,12
21,21,2
28,40,1
9,35,7
38,0,1
27,24,2
31,37,1
14,24,4
12,21,6
28,19,1
20,35,12
5,24,1
36,7,1
33,37,1
16,35,62
16,30,1
46,35,7
44,40,2
36,37,3
15,21,1
22,1,2
27,35,11
14,19,2
20,37,3
4,35,8
12,13,2
41,24,1
1,40,1
37,37,1
19,40,1
1,24,3
45,16,1
21,35,13
6,6,8
47,47,1
40,24,1
40,35,13
32,35,2
22,40,1
44,35,4
10,30,1
9,14,1
22,35,4
18,19,4
28,0,2
43,35,4
0,21,1
29,40,4
35,35,13
16,24,2
7,13,2
13,13,14
18,35,14
32,13,1
18,40,1
9,27,1
28,24,1
13,35,1
31,30,1
26,13,4
33,19,1
17,24,1
26,35,5
48,40,3
34,19,1
26,15,1
10,35,6
28,30,1
37,0,1
19,19,6
36,24,2
38,29,1
14,40,1
23,37,1
22,24,2
25,30,1
17,0,1
41,35,2
45,19,2
30,35,7
16,16,36
16,19,2
48,28,1
12,35,2
48,19,1
37,24,1
30,30,1
23,13,1
