true_label,predicted_label,count
2,14,1
26,22,1
11,16,1
37,3,1
42,42,3
41,7,2
48,41,1
22,17,1
17,34,1
38,7,1
19,11,2
14,14,3
48,48,2
49,1,3
7,7,6
20,46,1
16,7,1
45,43,1
25,0,1
35,11,2
4,22,1
17,30,1
41,0,1
8,11,2
36,38,5
20,45,1
0,11,1
27,12,2
44,12,1
7,31,4
18,34,2
24,31,4
14,48,2
36,1,1
47,9,1
35,18,1
2,24,1
32,7,1
20,20,3
21,21,1
8,22,2
32,32,1
22,0,3
29,38,1
23,7,1
18,35,1
48,14,2
31,13,1
42,11,2
20,22,1
31,0,1
12,34,1
43,30,1
14,37,1
32,34,1
39,21,1
27,21,1
11,1,3
48,11,3
28,13,1
29,49,1
40,1,2
3,3,4
44,27,1
20,1,1
19,47,2
4,0,2
48,19,1
6,11,2
25,1,2
34,23,2
38,0,3
0,38,2
38,34,1
15,35,5
15,30,1
10,22,1
19,31,1
21,45,1
48,0,2
30,11,2
4,7,1
26,49,1
27,5,1
2,11,3
2,1,2
9,9,10
12,16,1
34,17,1
30,16,1
24,24,2
10,0,1
28,7,1
20,29,1
37,11,1
39,43,2
38,2,1
49,10,1
12,15,1
37,37,3
33,2,1
34,11,2
3,33,1
49,3,1
31,28,1
26,7,1
4,23,1
1,11,3
29,2,1
35,22,3
7,16,1
47,38,1
1,9,1
44,6,2
2,32,1
5,5,1
18,18,9
41,5,1
13,20,1
13,32,1
26,0,1
11,11,89
5,20,1
13,31,2
30,20,1
13,13,3
17,22,1
17,5,1
7,48,1
4,4,3
44,3,1
37,10,1
28,23,1
24,7,1
45,34,1
13,21,1
34,37,1
41,41,1
12,8,1
5,31,1
41,23,1
24,43,4
8,43,1
38,45,1
47,47,4
43,24,2
32,45,1
48,47,1
14,19,1
23,22,1
20,7,2
11,33,1
44,48,1
27,22,1
11,9,1
20,23,1
6,16,1
16,30,1
11,47,1
32,0,1
22,22,8
19,19,7
20,18,1
28,28,3
12,17,2
7,30,2
34,34,4
3,1,1
46,18,1
8,8,1
24,11,1
29,29,5
5,12,1
13,9,2
2,36,1
47,3,1
14,11,1
21,34,1
47,37,1
25,25,5
49,11,3
30,30,2
37,1,1
1,40,1
20,15,1
36,34,1
37,32,1
7,29,1
13,2,1
20,31,1
10,10,15
46,13,1
37,40,1
1,10,1
43,13,1
48,21,1
44,19,1
5,0,2
11,3,2
20,35,2
6,38,1
36,49,1
7,39,1
33,1,1
35,39,1
39,16,1
43,43,9
0,0,11
7,17,1
1,1,7
46,35,1
8,16,1
31,30,1
30,27,3
39,39,8
42,19,1
48,24,1
17,0,1
11,19,1
40,11,4
29,3,1
42,39,1
15,22,1
16,39,4
30,28,1
21,1,1
7,45,1
3,9,2
45,30,1
37,0,1
35,43,1
38,38,6
21,16,1
21,7,1
24,45,1
18,23,2
5,41,1
45,28,1
41,31,3
38,37,1
6,27,1
9,33,4
34,20,2
7,24,1
49,49,1
47,11,6
37,21,1
33,33,12
34,2,1
28,11,2
29,11,2
39,35,1
23,16,2
42,24,1
32,30,1
23,23,13
36,7,1
21,31,1
33,45,1
12,12,6
3,2,1
3,13,1
14,38,1
15,34,1
3,11,3
30,37,1
27,27,4
35,35,7
40,45,1
27,11,1
11,0,2
30,24,2
24,39,4
21,24,2
2,43,1
39,28,1
27,39,2
43,45,1
25,2,1
18,12,1
17,20,1
24,30,1
16,23,2
21,12,1
45,7,1
43,39,1
29,37,1
5,27,1
21,13,1
9,1,2
45,21,1
30,39,3
18,22,1
48,5,1
20,17,1
31,32,1
14,5,1
26,26,1
17,17,9
27,31,2
11,34,1
45,27,2
45,45,3
0,8,1
36,14,1
30,14,1
22,23,4
12,23,1
44,44,1
13,6,1
40,34,1
8,7,1
30,23,1
16,16,7
9,3,1
37,19,1
32,24,2
6,6,5
2,2,3
34,45,1
1,32,1
46,46,4
6,48,1
6,22,1
21,17,1
21,27,1
31,31,5
37,49,1
32,11,1
20,43,1
16,22,5
26,19,2
45,13,1
13,11,1
7,35,1
46,15,1
35,30,1
47,45,1
9,11,2
38,11,1
46,9,1
15,15,4
30,17,2
14,1,1
24,41,1
28,39,2
36,17,1
43,11,3
22,29,1
13,47,1
15,18,1
24,27,1
11,22,1
45,48,1
6,39,1
11,31,1
31,7,1
13,49,1
13,30,1
17,23,1
34,35,1
45,23,1
