epoch,loss,accuracy
1,0.24161309,0.78125
2,0.04492712,0.4375
3,0.034346733,0.5859375
4,0.026812349,0.703125
5,0.9885201,0.7734375
6,0.9605412,0.828125
7,0.9533218,0.9140625
8,0.6889099,0.9453125
9,0.58813393,0.9921875
10,0.31073773,1
11,0.33091444,0.9921875
12,0.21697408,1
13,0.14679562,1
14,0.235713,1
15,0.1575247,1
16,0.18301764,1
17,0.19689903,1
18,0.094319046,1
19,0.09584247,1
20,0.05585403,1
21,0.06293514,1
22,0.050766274,1
23,0.060917705,1
24,0.04537652,1
25,0.070538834,1
26,0.066757604,1
27,0.045846086,1
28,0.04229251,1
29,0.0450323,1
30,0.040690973,1
31,0.057639316,1
32,0.07076526,1
33,0.059781473,1
34,0.04756108,1
35,0.02823084,1
