true_label,predicted_label,count
26,11,4
17,11,1
35,7,3
40,11,7
37,11,11
2,7,1
23,22,1
17,43,2
28,7,4
14,16,4
47,7,2
18,22,2
24,11,12
5,7,3
36,22,1
22,20,1
6,16,2
42,16,3
42,11,3
34,20,1
2,11,7
47,11,13
29,20,1
23,20,2
21,11,8
30,7,1
37,7,2
18,11,8
36,7,10
21,7,4
12,22,1
22,7,8
26,20,1
48,43,1
22,11,3
24,16,4
1,9,1
10,11,16
15,11,9
10,7,1
8,20,1
0,7,11
38,11,4
43,11,8
15,22,1
17,22,1
46,11,8
25,9,1
12,16,2
32,7,4
34,22,1
32,22,1
19,16,1
13,7,2
34,7,5
38,7,9
41,7,8
20,11,6
28,43,1
22,22,5
43,7,3
35,20,2
24,43,2
17,7,9
38,22,1
9,20,1
3,11,12
2,20,2
5,43,1
16,7,6
42,35,1
15,35,1
46,20,1
8,16,1
45,7,3
23,7,14
48,7,2
2,22,2
11,11,104
38,16,1
28,17,1
3,22,1
43,16,7
13,11,10
29,7,4
49,22,1
42,7,1
17,20,1
21,16,1
13,22,1
26,7,1
0,11,4
48,11,11
18,20,4
27,11,13
4,7,8
34,11,8
48,16,1
41,11,1
35,11,11
5,22,1
24,7,2
19,11,11
26,22,1
28,16,1
12,43,1
12,7,6
7,7,17
49,11,8
1,11,13
17,16,2
7,16,1
8,11,6
39,16,3
2,43,1
31,7,10
5,16,3
27,7,1
9,11,18
20,16,2
29,11,7
45,16,3
30,11,18
39,11,10
14,11,5
15,20,2
40,7,1
32,11,4
6,11,11
12,11,3
45,11,7
45,38,1
44,11,8
31,43,1
16,16,2
14,7,2
25,11,8
16,11,12
18,7,2
33,11,15
39,43,1
13,16,3
30,16,1
7,11,2
20,20,4
20,7,6
28,11,3
