epoch,loss,accuracy
1,0.113265954,0.78125
2,0.040989365,0.78125
3,0.040292166,0.59375
4,0.04003904,0.78125
5,0.03855079,0.78125
6,0.037533678,0.78125
7,0.035899688,0.546875
8,0.03411616,0.6015625
9,0.034373842,0.5703125
10,0.033960514,0.6171875
11,0.032023758,0.59375
12,0.032014742,0.6024096
13,0.031898737,0.609375
14,0.031462565,0.6015625
15,0.029550452,0.59375
16,0.028963437,0.65625
17,0.030368567,0.640625
18,0.02811722,0.7108433
19,0.027179012,0.640625
20,0.028140001,0.6953125
21,0.026754279,0.7109375
22,0.027364396,0.6328125
23,0.026167931,0.73493975
24,0.026707869,0.6953125
25,0.024309402,0.6328125
26,0.025783429,0.671875
27,0.023303494,0.6875
28,0.022724772,0.640625
29,0.02372099,0.671875
30,0.022559606,0.6953125
31,0.023616044,0.6796875
32,0.024130896,0.6875
33,0.021706825,0.7109375
34,0.021192288,0.71875
35,0.020626163,0.79518074
36,0.020380026,0.71875
37,0.9720762,0.7578125
38,0.022752415,0.73493975
39,0.9489117,0.734375
40,0.02156198,0.6953125
41,0.9736028,0.7265625
42,0.019488908,0.73493975
43,0.98774403,0.71875
44,0.9080887,0.71875
45,0.8808179,0.75
46,0.9997563,0.7265625
47,0.9837364,0.7890625
48,0.8556263,0.7265625
49,0.98330045,0.765625
50,0.896259,0.74698794
51,0.9649937,0.7578125
52,0.9301335,0.74698794
53,0.9985215,0.7890625
54,0.97560453,0.7578125
55,0.98157614,0.7421875
56,0.98617554,0.74698794
57,0.9313936,0.765625
58,0.9903867,0.7734375
59,0.92504835,0.75
60,0.9184814,0.796875
61,0.95514977,0.7421875
62,0.9483879,0.765625
63,0.93992954,0.78125
64,0.90672237,0.8046875
65,0.9690442,0.8125
66,0.94839257,0.7890625
67,0.92436206,0.8046875
68,0.9925326,0.859375
69,0.9682393,0.8359375
70,0.932782,0.796875
71,0.9883529,0.78125
72,0.8391776,0.796875
73,0.8867396,0.8515625
74,0.93832374,0.8313253
75,0.93906,0.828125
76,0.99062055,0.7890625
77,0.94231045,0.8072289
78,0.88049513,0.8072289
79,0.947144,0.84375
80,0.9578661,0.7578125
81,0.9605051,0.7890625
82,0.9718925,0.796875
83,0.9842601,0.7890625
84,0.9639697,0.84375
85,0.9955389,0.7890625
86,0.9846497,0.7890625
87,0.99408156,0.875
88,0.9745322,0.87951803
89,0.97565424,0.8359375
90,0.9604045,0.8313253
91,0.92653185,0.8046875
92,0.96374327,0.828125
93,0.9998797,0.796875
94,0.9701235,0.875
95,0.9823452,0.8203125
96,0.95472187,0.8359375
97,0.9331248,0.84375
98,0.9969101,0.7890625
99,0.9672677,0.828125
100,0.9755433,0.8203125
