epoch,loss,accuracy
1,0.19825532,0.78125
2,0.03926245,0.109375
3,0.039314657,0.125
4,0.039270587,0.1171875
5,0.03925582,0.13253012
6,0.03924312,0.1171875
7,0.039287128,0.296875
8,0.039333757,0.359375
9,0.039290622,0.3671875
10,0.03925882,0.3515625
11,0.03923978,0.40625
12,0.03930345,0.359375
13,0.039262734,0.3359375
14,0.03924961,0.43529412
15,0.03930416,0.34375
16,0.03933101,0.3828125
17,0.03923527,0.375
18,0.039358795,0.359375
19,0.039343216,0.359375
20,0.039297815,0.3671875
21,0.039431497,0.3671875
22,0.039351963,0.359375
23,0.03928691,0.3515625
24,0.03940027,0.3515625
25,0.03935658,0.3515625
26,0.03940662,0.34939757
27,0.039409257,0.34375
28,0.039348766,0.3647059
29,0.039376963,0.3984375
30,0.03932426,0.3828125
31,0.039434906,0.34117645
32,0.039365225,0.3828125
33,0.0395849,0.359375
34,0.039397553,0.4
35,0.039492622,0.359375
36,0.039600547,0.40625
37,0.039563216,0.3828125
38,0.03946435,0.3671875
39,0.03951364,0.3515625
40,0.03966138,0.3828125
