true_label,predicted_label,count
0,45,2
18,45,1
34,35,1
36,13,1
23,48,2
30,30,4
12,10,1
21,5,1
40,1,1
42,49,1
7,42,1
16,43,1
3,3,7
47,47,8
29,28,3
43,0,1
8,20,3
15,45,1
45,27,2
27,41,1
36,12,1
35,21,1
33,29,1
26,26,9
24,27,3
14,9,1
13,13,14
48,18,3
36,5,1
40,38,1
44,22,1
11,27,2
39,5,1
0,36,2
45,30,1
24,16,1
28,39,1
29,25,1
23,28,1
17,24,2
40,5,1
37,3,1
16,45,1
16,41,1
49,49,7
28,18,1
36,36,4
49,14,1
23,15,1
8,16,2
0,0,5
19,40,1
37,37,1
36,11,2
44,21,1
4,40,4
19,45,1
31,27,2
34,3,1
45,35,1
11,11,5
37,36,1
6,45,1
7,26,1
16,1,1
44,26,1
38,28,1
8,10,1
30,18,1
35,35,3
0,5,1
28,48,2
25,36,1
18,30,1
15,22,1
44,28,1
20,20,15
2,34,1
37,13,1
11,25,1
11,42,1
11,16,1
3,47,2
12,12,16
40,40,5
25,25,4
35,24,1
9,9,3
24,1,1
15,2,1
28,28,11
18,23,2
32,8,1
40,4,1
1,8,1
48,12,1
37,45,1
49,31,1
35,5,2
33,5,1
43,8,1
46,12,3
22,23,1
18,37,1
45,37,1
31,41,1
26,20,2
45,20,1
34,18,1
25,4,1
18,16,1
40,34,1
30,10,1
28,29,2
18,11,1
15,5,1
14,27,1
20,31,2
5,30,1
4,5,1
33,36,1
20,24,1
16,37,1
31,20,2
42,41,1
34,34,5
22,28,1
8,37,1
10,39,2
36,47,2
17,33,1
38,38,4
31,31,7
11,30,1
13,16,1
0,32,1
40,19,1
9,33,1
33,24,1
0,13,2
19,18,1
30,25,1
1,4,2
42,42,3
29,29,5
34,2,1
23,23,14
34,24,1
39,14,1
0,7,1
9,4,1
47,36,1
33,35,2
1,16,2
41,41,9
15,0,2
17,5,2
33,19,1
47,5,1
31,16,1
3,16,1
22,21,1
38,12,3
36,14,1
32,32,5
30,20,2
21,30,1
3,5,5
45,26,1
11,20,2
46,46,3
24,24,7
14,32,1
35,45,3
43,11,1
34,23,1
16,27,3
39,39,3
37,33,1
1,27,1
0,15,1
45,47,1
27,16,1
16,20,1
27,40,1
25,37,1
35,16,2
0,37,1
40,45,3
49,38,1
30,45,1
11,45,1
37,16,3
47,16,2
29,48,1
38,2,1
22,0,1
18,14,1
21,16,2
36,30,1
5,27,1
16,16,92
16,35,1
37,24,1
28,46,1
34,48,1
42,5,1
20,16,1
2,13,1
32,13,1
4,19,1
45,16,4
8,8,7
30,16,1
15,13,1
16,24,1
17,34,1
33,33,3
43,37,1
46,16,1
19,19,9
19,34,1
25,16,1
48,19,1
48,21,1
44,9,1
0,22,1
7,7,14
33,31,1
45,1,1
4,45,1
21,19,4
10,7,1
13,6,1
17,49,1
44,44,1
34,45,1
44,12,1
21,12,1
3,7,1
42,10,1
30,11,1
47,1,1
9,14,6
22,7,1
46,47,1
22,22,12
37,11,1
2,16,1
39,3,1
49,15,1
35,27,1
48,40,1
9,41,1
45,45,6
49,10,1
17,36,1
27,27,10
48,22,2
14,14,12
10,14,2
17,16,1
5,47,1
4,27,1
26,25,1
25,30,1
18,18,8
48,48,5
28,36,1
39,8,2
9,16,3
5,3,1
15,46,1
37,25,1
28,33,1
37,34,1
18,29,1
36,0,2
37,20,1
39,16,1
26,11,1
6,6,14
5,5,3
10,10,12
30,26,1
15,30,1
21,21,10
18,28,1
43,16,4
45,18,1
32,30,1
16,18,1
5,16,1
17,17,1
35,19,1
1,1,6
11,37,1
11,24,1
44,10,1
21,48,1
0,20,1
32,26,1
24,31,1
15,15,1
24,20,1
29,18,1
2,2,5
24,36,1
18,34,2
40,37,1
17,31,1
